,genreNm,movieCd
0,애니메이션,20232639
0,애니메이션,20232556
0,액션,20218541
0,애니메이션,20232491
0,SF,20218935
1,액션,20218935
2,드라마,20218935
0,드라마,20193879
0,애니메이션,20232836
0,드라마,20204264
1,기타,20204264
0,애니메이션,20232698
1,어드벤처,20232698
2,액션,20232698
0,애니메이션,20232618
0,스릴러,20226431
1,드라마,20226431
0,코미디,20226500
0,액션,20233052
0,액션,20192995
1,드라마,20192995
0,애니메이션,20232629
0,애니메이션,20233121
0,스릴러,20233014
0,공포(호러),20233075
0,액션,20223831
0,드라마,20231253
1,멜로/로맨스,20231253
0,미스터리,20224667
0,어드벤처,20090379
1,액션,20090379
2,가족,20090379
0,애니메이션,20232948
0,범죄,20234044
1,미스터리,20234044
2,스릴러,20234044
3,공포(호러),20234044
0,애니메이션,20233643
0,공연,20233743
1,다큐멘터리,20233743
0,애니메이션,20228016
0,코미디,20233235
0,액션,20233411
0,애니메이션,20233597
0,드라마,2023C685
0,판타지,20227410
1,액션,20227410
0,드라마,20197122
0,코미디,20223896
1,드라마,20223896
0,공포(호러),20234281
0,애니메이션,20234099
0,애니메이션,20234174
0,코미디,20228819
0,SF,20233879
1,액션,20233879
