,peopleNm,peopleNmEn,cast,castEn,movieCd
13,김미희,KIM Mi-hee,상황실국정원요원1,,20192101
14,한철우,,헬기 조종사,,20192101
15,이상원,LEE Sang-won,성태,,20192101
16,김길동,KIM Gil-dong,제이슨부하1,,20192101
17,배진웅,BAE Jin-woong,제이슨부하2,,20192101
18,안성봉,AHN Seong-bong,공사장 국정원 요원,,20192101
19,주서은,,은,,20192101
20,권유준,,형도 보좌 국정원 요원1,,20192101
21,이상이,LEE Sang-yi,형도 보좌 국정원 요원2,,20192101
22,오자훈,,어린 준,,20192101
23,배민준,,어린 철,,20192101
24,박경근,,고위직1,,20192101
25,손성찬,SON Seong-chan,고위직2,,20192101
26,문정대,moon jung dae,고위직3,,20192101
27,이건구,,공사장국정원요원,,20192101
28,하경민,,상황실국정원요원2,,20192101
29,김사란,,상황실국정원요원3,,20192101
30,신수오,,고급호텔직원,,20192101
31,조셉,,과거취조실고문요원,,20192101
32,손태양,,음성분석국정원요원,,20192101
33,채인우,,가영친구아빠,,20192101
34,김건,,PC방 초딩1,,20192101
35,서성균,,PC방 초딩2,,20192101
36,박가은,,과거 미나 친구3,,20192101
37,안보라,,과거 아나운서,,20192101
38,권반석,,기자,,20192101
39,황태희,,위치분석국정원요원,,20192101
40,김원영,,웹툰사무실국정원요원1,,20192101
